"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"106","Qatar","","","-","27.67"
"107","Cabo Verde","","","-","27.59"
"108","Tajikistan","","","-","27.40"
"109","Namibia","","","-","27.31"
"110","Kazakhstan","","","-","27.22"
"111","Nepal","","","-","27.07"
"112","Botswana","","","-","27.01"
"113","Madagascar","","","-","26.87"
"114","Lesotho","","","-","26.84"
"115","Zimbabwe","","","-","26.66"
"116","India","","","-","26.39"
"117","Turkey","","","-","26.26"
"118","Albania","","","-","26.17"
"119","Tunisia","","Weakness","-","25.91"
"120","Tanzania, United Republic of","","","-","25.77"
"121","Bhutan","","","-","25.73"
"122","Bangladesh","","","-","25.64"
"123","Ecuador","","","-","24.65"
"124","Indonesia","","","-","24.65"
"125","Ethiopia","","","-","24.55"
"126","Angola","","","-","24.30"
"127","Cote dIvoire","","Weakness","-","24.04"
"128","Oman","","Weakness","-","23.02"
"129","Zambia","","","-","22.57"
"130","Iran, Islamic Republic of","","","-","22.56"
"131","Pakistan","","Weakness","-","22.45"
"132","Kuwait","","Weakness","-","22.06"
"133","Yemen","","","-","21.91"
"134","Morocco","","Weakness","-","21.53"
"135","Algeria","","","-","20.94"
"136","Azerbaijan","","Weakness","-","20.74"
"137","Nigeria","","Weakness","-","20.27"
"138","Uzbekistan","","Weakness","-","20.04"
"139","Guinea","","Weakness","-","19.73"
"140","Guinea Bissau","","","-","16.67"
"140","Equatorial Guinea","","","-","16.67"
"140","Grenada","","","-","16.67"
"140","Greenland","","","-","16.67"
"140","French Guiana","","","-","16.67"
"140","Guam","","","-","16.67"
"140","Iraq","","","-","16.67"
"140","Isle of Man","","","-","16.67"
"140","Haiti","","","-","16.67"
"140","Kosovo","","","-","16.67"
"140","Kiribati","","","-","16.67"
"140","Saint Kitts and Nevis","","","-","16.67"
"140","Jersey","","","-","16.67"
"140","Monaco","","","-","16.67"
"140","Maldives","","","-","16.67"
"140","Marshall Islands","","","-","16.67"
"140","Liberia","","","-","16.67"
"140","Libya","","","-","16.67"
"140","Saint Lucia","","","-","16.67"
"140","Liechtenstein","","","-","16.67"
"140","Macao","","","-","16.67"
"140","Saint Martin (French part)","","","-","16.67"
"140","Mayotte","","","-","16.67"
"140","Mauritania","","","-","16.67"
"140","Montserrat","","","-","16.67"
"140","Martinique","","","-","16.67"
"140","Northern Mariana Islands","","","-","16.67"
"140","Andorra","","","-","16.67"
"140","Netherlands Antilles","","","-","16.67"
"140","Anguilla","","","-","16.67"
"140","Aruba","","","-","16.67"
"140","Afghanistan","","","-","16.67"
"140","American Samoa","","","-","16.67"
"140","Antigua and Barbuda","","","-","16.67"
"140","Central African Republic","","","-","16.67"
"140","Channel Islands","","","-","16.67"
"140","Belize","","","-","16.67"
"140","Bermuda","","","-","16.67"
"140","Bahamas","","","-","16.67"
"140","Eritrea","","","-","16.67"
"140","Gibraltar","","","-","16.67"
"140","Faroe Islands","","","-","16.67"
"140","Micronesia, Federated States of","","","-","16.67"
"140","Gabon","","","-","16.67"
"140","Comoros","","","-","16.67"
"140","Congo, Democratic Republic of the","","","-","16.67"
"140","Congo","","","-","16.67"
"140","Cook Islands","","","-","16.67"
"140","Djibouti","","","-","16.67"
"140","Dominica","","","-","16.67"
"140","Cuba","","","-","16.67"
"140","Curaçao","","","-","16.67"
"140","Cayman Islands","","","-","16.67"
"140","Holy See (Vatican City State)","","","-","16.67"
"140","Saint Vincent and the Grenadines","","","-","16.67"
"140","Virgin Islands, British","","","-","16.67"
"140","Virgin Islands, U.S.","","","-","16.67"
"140","Tuvalu","","","-","16.67"
"140","Taiwan, Province of China","","","-","16.67"
"140","Sint Maarten (Dutch part)","","","-","16.67"
"140","Tokelau","","","-","16.67"
"140","Turkmenistan","","","-","16.67"
"140","Timor-Leste","","","-","16.67"
"140","Tonga","","","-","16.67"
"140","Syrian Arab Republic","","","-","16.67"
"140","Turks and Caicos Islands","","","-","16.67"
"140","Chad","","","-","16.67"
"140","South Sudan","","","-","16.67"
"140","Sao Tome and Principe","","","-","16.67"
"140","Suriname","","","-","16.67"
"140","San Marino","","","-","16.67"
"140","Somalia","","","-","16.67"
"140","New Caledonia","","","-","16.67"
"140","Nauru","","","-","16.67"
"140","Niue","","","-","16.67"
"140","Palau","","","-","16.67"
"140","Papua New Guinea","","","-","16.67"
"140","Réunion","","","-","16.67"
"140","Puerto Rico","","","-","16.67"
"140","Korea, Democratic People's Republic of","","","-","16.67"
"140","Palestinian Territory, Occupied","","","-","16.67"
"140","French Polynesia","","","-","16.67"
"140","Solomon Islands","","","-","16.67"
"140","Sierra Leone","","","-","16.67"
"140","Sudan","","Weakness","-","13.66"
"140","Vanuatu","","","-","16.67"
"140","Samoa","","","-","16.67"
"140","Sudan (pre-secession)","","","-","16.67"
"141","Myanmar","","Weakness","-","10.98"
